Country,Year,Life expectancy,GDP,Population,Continent
Afghanistan,2018,64.486,1934.555,37171922.0,Asia
Albania,2018,78.458,11104.1665,2882735.0,Europe
Algeria,2018,76.693,14228.025,42228415.0,Africa
American Samoa,2018,73.679,,55461.0,Oceania
Andorra,2018,83.594,,77008.0,Europe
Angola,2018,60.782,7771.4418,30809787.0,Africa
Anguilla,2018,81.714,,14738.0,North America
Antigua and Barbuda,2018,76.885,,96282.0,North America
Argentina,2018,76.52,18556.3831,44361150.0,South America
Armenia,2018,74.945,11454.4251,2951741.0,Asia
Aruba,2018,76.152,,105846.0,North America
Australia,2018,83.281,49830.7993,24898153.0,Oceania
Austria,2018,81.434,42988.0709,8891383.0,Europe
Azerbaijan,2018,72.864,16628.0553,9949537.0,Asia
Bahamas,2018,73.752,,385635.0,North America
Bahrain,2018,77.163,39498.7672,1569440.0,Asia
Bangladesh,2018,72.32,4099.253,161376713.0,Asia
Barbados,2018,79.081,11995.1868,286640.0,North America
Belarus,2018,74.59,18727.3176,9452615.0,Europe
Belgium,2018,81.468,39756.2031,11482180.0,Europe
Belize,2018,74.496,,383071.0,North America
Benin,2018,61.47,2220.1766,11485035.0,Africa
Bermuda,2018,82.459,,62763.0,North America
Bhutan,2018,71.46,,754396.0,Asia
Bolivia,2018,71.239,6695.7746,11353140.0,South America
Bonaire Sint Eustatius and Saba,2018,77.608,,25709.0,North America
Bosnia and Herzegovina,2018,77.262,10460.5201,3323929.0,Europe
Botswana,2018,69.275,15842.1301,2254067.0,Africa
Brazil,2018,75.672,14033.5656,209469320.0,South America
British Virgin Islands,2018,78.907,,29795.0,North America
Brunei,2018,75.722,,428960.0,Asia
Bulgaria,2018,74.928,18444.2602,7051610.0,Europe
Burkina Faso,2018,61.174,1589.6242,19751466.0,Africa
Burundi,2018,61.247,651.3589,11175379.0,Africa
Cambodia,2018,69.57,3628.5611,16249795.0,Asia
Cameroon,2018,58.921,2888.0459,25216261.0,Africa
