Comarca,RFDB (milers d'euros),RFDB per habitant (milers d'euros),Índex Catalunya=100 per habitant,Any
Alt Camp,596504,14.7,98.7,2005
Alt Empordà,1875004,15.4,103.6,2005
Alt Penedès,1364592,14.4,96.3,2005
Alt Urgell,300604,14.2,95.6,2005
Alta Ribagorça,63515,15.7,105.5,2005
Anoia,1464947,13.7,91.6,2005
Bages,2476478,14.5,97.1,2005
Baix Camp,2476703,14.5,97.4,2005
Baix Ebre,1093870,14.5,97.0,2005
Baix Empordà,1833270,15.0,100.7,2005
Baix Llobregat,10204523,13.4,89.8,2005
Baix Penedès,1200858,14.5,97.3,2005
Barcelonès,34718175,15.6,104.9,2005
Berguedà,591995,14.8,99.6,2005
Cerdanya,284519,16.7,112.0,2005
Conca de Barberà,314388,15.5,104.3,2005
Garraf,1887305,14.5,97.0,2005
Garrigues,309060,15.5,103.7,2005
Garrotxa,839028,16.0,107.6,2005
Gironès,2697307,16.5,110.7,2005
Maresme,6194962,15.3,102.9,2005
Montsià,912132,14.1,94.5,2005
Noguera,558218,14.7,98.6,2005
Osona,2051671,14.2,95.6,2005
Pallars Jussà,206471,16.4,109.9,2005
Pallars Sobirà,116810,16.7,112.4,2005
Pla d'Urgell,492894,14.7,98.3,2005
Pla de l'Estany,453927,16.1,107.9,2005
Priorat,143798,14.8,99.2,2005
Ribera d'Ebre,335410,14.6,97.9,2005
Ripollès,437963,16.6,111.4,2005
Segarra,306574,14.3,96.2,2005
Segrià,2831345,15.3,102.4,2005
Selva,2117967,14.3,96.1,2005
Solsonès,192851,14.9,100.3,2005
Tarragonès,3225054,14.8,99.5,2005
Terra Alta,194153,15.3,102.4,2005
Urgell,558703,16.3,109.1,2005
Val d'Aran,174161,18.6,124.5,2005
Vallès Occidental,11961422,14.5,97.2,2005
Vallès Oriental,5219919,14.2,95.6,2005
Alt Camp,645236,15.4,98.7,2006
Alt Empordà,2089896,16.5,105.6,2006
Alt Penedès,1490091,15.2,97.4,2006
Alt Urgell,321715,15.0,96.1,2006
Alta Ribagorça,68166,16.6,106.4,2006
Anoia,1582861,14.3,91.7,2006
Bages,2657083,15.2,97.1,2006
Baix Camp,2670527,15.1,96.6,2006
Baix Ebre,1172376,15.1,96.8,2006
Baix Empordà,2040743,16.3,104.2,2006
Baix Llobregat,10750315,14.0,89.3,2006
Baix Penedès,1321459,15.0,95.7,2006
Barcelonès,36210561,16.3,104.3,2006
Berguedà,635859,15.8,101.0,2006
Cerdanya,315229,18.0,115.3,2006
Conca de Barberà,335599,16.3,104.5,2006
Garraf,2033960,15.1,96.6,2006
Garrigues,332731,16.6,106.4,2006
Garrotxa,919601,17.3,110.6,2006
Gironès,2939811,17.5,112.0,2006
Maresme,6630051,16.1,103.0,2006
Montsià,989340,14.9,95.0,2006
Noguera,611726,15.9,101.6,2006
Osona,2187619,14.9,95.5,2006
Pallars Jussà,225843,17.3,110.6,2006
Pallars Sobirà,129950,18.2,116.6,2006
Pla d'Urgell,544106,15.7,100.7,2006
Pla de l'Estany,502808,17.5,112.0,2006
Priorat,154341,15.8,100.8,2006
Ribera d'Ebre,359500,15.5,99.2,2006
Ripollès,473939,17.9,114.5,2006
Segarra,342283,15.7,100.7,2006
Segrià,3119901,16.5,105.6,2006
Selva,2327065,15.1,96.3,2006
Solsonès,215441,16.3,104.2,2006
Tarragonès,3495322,15.4,98.6,2006
