Comarca,Any,Preu mitjà lloguer,RFDB (milers d'euros),RFDB per habitant (milers d'euros),Índex Catalunya=100 per habitant,RFDB per habitant - Mensual
Vallès Oriental,2005,483.2253024248528,5219919,14200.0,95.6,1183.33
Garrigues,2005,290.3048331900824,309060,15500.0,103.7,1291.67
Garraf,2005,586.6051081220085,1887305,14500.0,97.0,1208.33
Conca de Barberà,2005,314.3292002857143,314388,15500.0,104.3,1291.67
Cerdanya,2005,520.349812378247,284519,16700.0,112.0,1391.67
Berguedà,2005,295.71385158836256,591995,14800.0,99.6,1233.33
Barcelonès,2005,615.3557955237426,34718175,15600.0,104.9,1300.0
Baix Penedès,2005,468.0586624386498,1200858,14500.0,97.3,1208.33
Baix Llobregat,2005,578.729730792171,10204523,13400.0,89.8,1116.67
Baix Empordà,2005,469.7566837104419,1833270,15000.0,100.7,1250.0
Baix Ebre,2005,297.07958843324565,1093870,14500.0,97.0,1208.33
Bages,2005,336.5492330865855,2476478,14500.0,97.1,1208.33
Anoia,2005,368.6709736088189,1464947,13700.0,91.6,1141.67
Alta Ribagorça,2005,380.0,63515,15700.0,105.5,1308.33
Alt Urgell,2005,355.45042645875253,300604,14200.0,95.6,1183.33
Alt Penedès,2005,444.1479331514124,1364592,14400.0,96.3,1200.0
Alt Empordà,2005,392.9592035334828,1875004,15400.0,103.6,1283.33
Alt Camp,2005,365.625002726528,596504,14700.0,98.7,1225.0
Garrotxa,2005,305.0384540595389,839028,16000.0,107.6,1333.33
Gironès,2005,462.18253521342274,2697307,16500.0,110.7,1375.0
Vallès Occidental,2005,542.0991306877061,11961422,14500.0,97.2,1208.33
Montsià,2005,365.19785746424935,912132,14100.0,94.5,1175.0
Val d'Aran,2005,427.3827751724138,174161,18600.0,124.5,1550.0
Urgell,2005,281.59914351851853,558703,16300.0,109.1,1358.33
Terra Alta,2005,230.0,194153,15300.0,102.4,1275.0
Tarragonès,2005,437.4736057710249,3225054,14800.0,99.5,1233.33
Solsonès,2005,281.7660764705883,192851,14900.0,100.3,1241.67
