Renda familiar disponible bruta (RFDB). Índex. Comarques i àmbits
2008
Font: Idescat.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15917&t=200800
,RFDB (milers d'euros),RFDB per habitant (milers d'euros),Índex Catalunya=100 per habitant
Alt Camp,750652,17.2,98.6
Alt Empordà,2311294,17.6,101.0
Alt Penedès,1745009,17.0,97.5
Alt Urgell,348646,16.6,95.2
Alta Ribagorça,77567,18.4,105.8
Anoia,1809517,15.8,90.7
Bages,3047232,16.9,97.2
Baix Camp,3166526,17.2,98.8
Baix Ebre,1325931,16.4,94.5
Baix Empordà,2225954,17.4,100.2
Baix Llobregat,12454414,16.1,92.4
Baix Penedès,1628075,17.2,99.0
Barcelonès,40527838,18.2,104.6
Berguedà,704870,17.0,97.9
Cerdanya,330037,18.6,106.6
Conca de Barberà,376778,18.0,103.6
Garraf,2376124,17.1,98.4
Garrigues,354300,17.9,102.8
Garrotxa,980859,18.1,104.2
Gironès,3190606,18.4,105.5
Maresme,7476634,17.9,102.7
Montsià,1157661,16.6,95.6
Noguera,667201,17.3,99.4
Osona,2444946,16.3,93.4
Pallars Jussà,249570,19.1,110.0
Pallars Sobirà,138645,18.8,108.3
Pla d'Urgell,612736,17.1,98.4
Pla de l'Estany,526883,17.9,102.9
Priorat,168767,17.4,99.9
Ribera d'Ebre,401312,17.5,100.3
Ripollès,486281,18.3,105.2
Segarra,381966,17.1,98.3
Segrià,3558145,18.1,103.7
Selva,2641230,16.5,94.9
Solsonès,234357,17.1,98.0
Tarragonès,4260163,17.9,102.7
Terra Alta,220385,17.2,98.6
Urgell,659156,18.5,106.3
Val d'Aran,202065,20.6,118.4
Vallès Occidental,14667407,17.2,98.7
Vallès Oriental,6195393,16.1,92.6
Catalunya,127083133,17.4,100.0
Metropolità,81321686.0,17.5,100.3
Comarques Gironines,12363107.0,17.6,101.1
Camp de Tarragona,8722886.0,17.6,100.9
Terres de l'Ebre,3105288.0,16.7,95.9
Ponent,6233503.0,17.9,102.6
Comarques Centrals,6431406.0,16.7,95.8
Alt Pirineu i Aran,1346530.0,18.4,105.6
Penedès,7558726.0,16.8,96.3

