Renda familiar disponible bruta (RFDB). Índex. Comarques i àmbits
2009
Font: Idescat.
Nota: Base 2008.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15917&t=200900
,RFDB (milers d'euros),RFDB per habitant (milers d'euros),Índex Catalunya=100 per habitant
Alt Camp,773270,17.4,100.1
Alt Empordà,2300197,17.2,98.6
Alt Penedès,1763981,16.9,97.0
Alt Urgell,348624,16.5,94.8
Alta Ribagorça,77892,18.4,105.7
Anoia,1836280,15.8,90.5
Bages,3079385,16.9,97.0
Baix Camp,3153797,16.9,97.1
Baix Ebre,1352963,16.8,96.5
Baix Empordà,2272945,17.6,101.0
Baix Llobregat,12535277,16.0,91.7
Baix Penedès,1663745,17.2,98.8
Barcelonès,40902619,18.3,105.0
Berguedà,714848,17.2,98.7
Cerdanya,328187,18.5,106.1
Conca de Barberà,397255,18.9,108.3
Garraf,2386994,16.9,97.1
Garrigues,356115,18.0,103.0
Garrotxa,1006972,18.4,105.8
Gironès,3269436,18.5,106.3
Maresme,7523151,17.7,101.8
Montsià,1190788,16.9,97.2
Noguera,677828,17.4,100.0
Osona,2465648,16.2,93.0
Pallars Jussà,253579,19.3,110.4
Pallars Sobirà,139524,18.7,107.5
Pla d'Urgell,620529,17.0,97.6
Pla de l'Estany,554549,18.5,106.1
Priorat,178581,18.2,104.5
Ribera d'Ebre,420384,18.2,104.2
Ripollès,502676,19.0,109.0
Segarra,392484,17.3,99.4
Segrià,3624364,18.1,103.6
Selva,2634068,16.1,92.5
Solsonès,236822,17.3,99.0
Tarragonès,4353872,17.9,102.8
Terra Alta,225345,17.5,100.5
Urgell,678754,18.8,108.0
Val d'Aran,198276,20.2,115.8
Vallès Occidental,14971305,17.3,99.1
Vallès Oriental,6302188,16.2,92.8
Catalunya,128665496,17.4,100.0
Metropolità,82234540.5,17.5,100.4
Comarques Gironines,12540843.6,17.6,100.8
Camp de Tarragona,8856773.9,17.5,100.7
Terres de l'Ebre,3189479.6,17.1,98.0
Ponent,6350072.8,17.9,102.8
Comarques Centrals,6496703.0,16.7,95.7
Alt Pirineu i Aran,1346082.1,18.3,105.1
Penedès,7651000.5,16.7,95.8

