"Renda familiar disponible bruta (RFDB). Revisió estadística 2019. Índex. Comarques i Aran, i àmbits"
2014
Font: Idescat. Renda familiar disponible bruta territorial.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15917&t=201400
,RFDB (milers d'euros),RFDB per habitant (milers d'euros),RFDB per habitant (Índex Catalunya=100 per habitant)
Alt Camp,629440,14.2,88.7
Alt Empordà,1673140,12.2,76.5
Alt Penedès,1615462,15.3,95.7
Alt Urgell,258351,12.5,78.1
Alta Ribagorça,56670,14.5,90.3
Anoia,1657787,14.1,88.3
Aran,130388,13.3,82.9
Bages,2641245,15.2,95.1
Baix Camp,2601995,13.8,85.9
Baix Ebre,960487,12.1,75.7
Baix Empordà,1692192,13.0,81.1
Baix Llobregat,13380745,16.8,104.7
Baix Penedès,1302179,13.1,82.0
Barcelonès,39908544,18.2,113.5
Berguedà,616224,15.6,97.4
Cerdanya,238574,13.3,83.2
Conca de Barberà,291763,14.3,89.0
Garraf,2241016,15.6,97.5
Garrigues,251234,12.9,80.8
Garrotxa,833483,15.1,94.6
Gironès,2693887,14.9,93.0
Maresme,6814768,15.7,98.4
Moianès,193629,14.9,93.3
Montsià,768896,11.2,69.9
Noguera,495286,12.8,79.7
Osona,2348068,15.4,96.3
Pallars Jussà,183257,13.8,86.1
Pallars Sobirà,94739,13.4,83.8
Pla d'Urgell,478863,13.1,81.7
Pla de l'Estany,466379,14.9,93.1
Priorat,123252,13.0,81.1
Ribera d'Ebre,317678,14.1,88.2
Ripollès,401268,15.8,98.6
Segarra,308077,13.7,85.4
Segrià,2893713,14.1,88.1
Selva,2146807,12.9,80.3
Solsonès,177634,13.2,82.6
Tarragonès,3551238,14.2,89.0
Terra Alta,149666,12.6,78.8
Urgell,474595,13.1,82.2
Vallès Occidental,14584192,16.3,101.9
Vallès Oriental,6261492,15.8,98.5
Catalunya,118908304,16.0,100.0
Metropolità,81009358,17.2,107.2
Comarques Gironines,9907157,13.6,85.2
Camp de Tarragona,7197687,14.0,87.7
Terres de l'Ebre,2196727,12.0,75.3
Ponent,4901767,13.7,85.4
Comarques Centrals,5917186,15.2,95.2
Alt Pirineu i Aran,961979,13.2,82.7
Penedès,6816444,14.6,91.5

