"Renda familiar disponible bruta (RFDB). Revisió estadística 2019. Índex. Comarques i Aran, i àmbits"
2015
Font: Idescat. Renda familiar disponible bruta territorial.
"Nota: La nova comarca del Moianès es va crear l'1 de maig de 2015 (Llei 4/2015, de 23 d'abril, de creació de la comarca del Moianès) a partir de l'agregació de cinc municipis de la comarca del Bages, un de la comarca d'Osona i quatre de la comarca del Vallès Oriental."
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15917&t=201500
,RFDB (milers d'euros),RFDB per habitant (milers d'euros),RFDB per habitant (Índex Catalunya=100 per habitant)
Alt Camp,645998,14.6,87.9
Alt Empordà,1725321,12.7,76.0
Alt Penedès,1652123,15.7,94.0
Alt Urgell,260614,12.7,76.4
Alta Ribagorça,56543,14.6,87.4
Anoia,1728525,14.7,88.6
Aran,133203,13.6,81.8
Bages,2750976,15.9,95.4
Baix Camp,2685219,14.2,85.5
Baix Ebre,968483,12.3,74.1
Baix Empordà,1739026,13.4,80.3
Baix Llobregat,14051971,17.5,105.4
Baix Penedès,1332487,13.5,80.8
Barcelonès,41591486,18.9,113.5
Berguedà,623599,15.9,95.7
Cerdanya,234726,13.2,79.4
Conca de Barberà,289238,14.2,85.6
Garraf,2365086,16.4,98.7
Garrigues,253954,13.2,79.4
Garrotxa,858851,15.6,93.9
Gironès,2831825,15.6,93.8
Maresme,7101452,16.3,98.2
Moianès,201572,15.4,92.8
Montsià,793729,11.7,70.0
Noguera,505733,13.1,78.8
Osona,2440236,15.9,95.8
Pallars Jussà,182980,13.8,82.8
Pallars Sobirà,94735,13.6,81.9
Pla d'Urgell,497190,13.5,81.4
Pla de l'Estany,481370,15.4,92.3
Priorat,124860,13.3,79.9
Ribera d'Ebre,317014,14.3,85.6
Ripollès,403155,16.0,96.4
Segarra,315808,14.1,84.7
Segrià,2991566,14.6,87.7
Selva,2215790,13.4,80.3
Solsonès,181013,13.5,81.1
Tarragonès,3631752,14.6,87.4
Terra Alta,148906,12.7,76.6
Urgell,483915,13.5,80.9
Vallès Occidental,15306067,17.0,102.4
Vallès Oriental,6600264,16.6,99.6
Catalunya,123798363,16.6,100.0
Metropolità,84713946,17.9,107.5
Comarques Gironines,10255339,14.1,85.0
Camp de Tarragona,7377066,14.4,86.6
Terres de l'Ebre,2228133,12.3,74.1
Ponent,5048165,14.1,84.8
Comarques Centrals,6134691,15.8,95.0
Alt Pirineu i Aran,962802,13.3,80.1
Penedès,7078222,15.2,91.3

