"Renda familiar disponible bruta (RFDB). Revisió estadística 2019. Índex. Comarques i Aran, i àmbits"
2020 (p)
Font: Idescat. Renda familiar disponible bruta territorial.
(p) Dada provisional.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15917&t=202000:P
,RFDB (milers d'euros),RFDB per habitant (milers d'euros),RFDB per habitant (Índex Catalunya=100 per habitant)
Alt Camp,699696,15.5,88.5
Alt Empordà,1953140,14.0,79.5
Alt Penedès,1829468,16.6,94.6
Alt Urgell,276982,13.8,78.4
Alta Ribagorça,57539,14.7,83.7
Anoia,1929153,15.6,88.8
Aran,161405,15.9,90.6
Bages,2997757,16.7,95.2
Baix Camp,2981015,15.2,86.7
Baix Ebre,1103258,14.1,80.1
Baix Empordà,1983315,14.7,83.9
Baix Llobregat,15125751,18.3,104.0
Baix Penedès,1605507,14.8,84.2
Barcelonès,44350125,19.4,110.4
Berguedà,667545,16.7,95.3
Cerdanya,282491,15.1,85.8
Conca de Barberà,322846,16.2,92.4
Garraf,2723506,18.0,102.6
Garrigues,267865,14.1,80.2
Garrotxa,972592,16.8,95.9
Gironès,3209307,16.7,95.4
Maresme,8115522,17.9,101.8
Moianès,232748,16.7,95.0
Montsià,897303,12.9,73.7
Noguera,534033,13.8,78.8
Osona,2800744,17.3,98.4
Pallars Jussà,192281,14.8,84.1
Pallars Sobirà,102749,14.7,83.6
Pla d'Urgell,568558,15.2,86.6
Pla de l'Estany,554227,17.0,97.0
Priorat,134227,14.6,83.3
Ribera d'Ebre,328489,15.2,86.5
Ripollès,430215,17.1,97.2
Segarra,336160,14.7,83.5
Segrià,3282043,15.7,89.6
Selva,2549137,14.8,84.6
Solsonès,202723,14.7,83.6
Tarragonès,3978875,15.1,86.1
Terra Alta,157751,14.0,79.6
Urgell,538489,14.5,82.7
Vallès Occidental,16961318,18.1,103.1
Vallès Oriental,7307872,17.6,100.4
Catalunya,135705727,17.6,100.0
Metropolità,91931214,18.7,106.3
Comarques Gironines,11651932,15.5,88.1
Camp de Tarragona,8116659,15.2,86.7
Terres de l'Ebre,2486801,13.8,78.4
Ponent,5527149,15.2,86.6
Comarques Centrals,6830892,16.9,96.0
Alt Pirineu i Aran,1073447,14.7,83.8
Penedès,8087634,16.4,93.3

